Dish,Calories,Carbs(g),Fat(g),Protein(g),MealType
Grilled_Calamari_steaks_with_mediterranean_topping,261,7,15,27.5,Main
"""Parmesan""-Crusted_Tilapia",250,6,8,38,Main
Crab-Stuffed_Mushrooms,121,5,3.5,17.5,Main
Grilled_Ono_with_Mango-Pineapple_Salsa,216,9,6.3,29.8,Main
Broiled_Salmon_with_Indian_Spices,150,3,1.5,31.5,Main
Grilled_Balsamic_and_Rosemary_Salmon,117,3,2,21,Main
Mahimahi_tacos_with_Cilantro-Lime_Crema,159,10.8,4.9,17.8,Main
Stuffed_Florentine_Chicken_Breasts,193,7,5,30,Main
Bison_and_Protobello_Sliders,212,9.1,9,27,Main
Chili_Lime_Salmon_Pouches,165,0,7.2,25,Main
Pan-Seared_Chicken_breasts,140,0,3,27,Main
Apple-Roasted_While_Chicken,151,0,4.2,26.4,Main
Ginger_Soy_Shrimp_Skewers,119,2,1.3,23.9,Main
Sriracha_Curry_Coconut_Chicken,159,2.6,4.8,25.4,Main
Broiled_Cod_with_charred_Tomatillo_Salsa,137,3.6,1.3,25.9,Main
Chicken_Hobo_Dinner_,173,8.3,3,26.9,Main
Spicy_Stuffed_Peppers,239,18.2,9.6,23.9,Main
Broiled_Greek_Chciken_Kabobs,145,1.7,3.1,25.9,Main
Almond-Crusted_Mustard_Chicken,278,5.1,13.8,34,Main
Broth-Poached_Snapper_with_Broccoli,194,9.3,2.5,34.4,Main
Slow_Cooker_BBQ_Pulled_Chicken,152,2.2,3,26.8,Main
Spicy_Salmon_Burgers,179,5.2,4.5,29.7,Main
Reverse_Seared_Sirloin_Steak,229,0,9.1,34.4,Main
Vietnamese_Style_Pork_Tenderloin,233,1.1,9.3,33.7,Main
Tex-Mex_Fajitas,299,26.5,8.6,27.9,Main
Slow_Cooker_pork_Roast,192,3.9,6.5,27.7,Main
Coffee_Rubbed_Steak,150,0,4.4,25.8,Main
Ridiculously_easy_pork_roll-Ups,261,2.9,10.9,36,Main
Grilled_Jerk_Chicken_Breasts,145,0.8,3.1,26.8,Main
Grilled_Southwester_Pork_Medallions,186,0,5.5,31.9,Main
Southwester_Chicken_street_Tacos,260,24.7,4.6,28.1,Main
Slow_Cooker_Rosemary_Pot_Roast,222,1.4,12,25,Main
Chicken_Cacciatore,161,4.2,4.2,26,Main
Whie_Chicken_Chili,221,12.4,3.6,33.1,Main
Muscle_Building_Meatloaf,232,5.2,13.7,24.6,Main
Spaghetti_Squash_and_Meatball_Boats,180,12.8,1.7,30.6,Main
Ginger_Beef_and_Bok_Choy_Stir_Fry,242,2.8,9.1,35.7,Main
Meatza,167,4.8,2.8,29.8,Main
Coconut_Curry_Shrimp,124,1.5,2.3,23.7,Main
Blackened_Baked_Tilapia,146,0,2.7,32,Main
Cucumber_Salad,28,6.7,0,1,Side
Chicken_Waldorf_Salad,265,17.6,9.2,29.9,Side
Brussels_Sprout_and_Berries_Sald,209,23,12,3,Side
Salmon_Salad,174,1.2,7.5,26.3,Side
Citrus-Beet_Salad_with_Toasted_Walnuts,130,23,3,4,Side
Honey-Dijon_Kale_Salad,262,32.2,15.2,5.2,Side
Spinach_Caprese_Salad,181,8,12,18,Side
Mediterranean_Bean_Salad,141,18.4,6.3,6.1,Side
Southwestern_salad_with_pulled_chicken_and_Cilantro-Lime_dressing,477,26,21,51,Side
Thai_Peanut_Salad,246,50,1,16,Side
Curry_Quinoa_Salad,168,28.3,2.6,8.3,Side
Garlicky_Roasted_Brussel_Sprouts,67.5,10.6,1,6.3,Side
Zucchini_Fritters,60,7.9,3.2,4.5,Side
Savory_Roasted_Cauliflower,33,7,0,2.7,Side
Protein_Mashed_Potatoes,132,19.8,4.5,3.8,Side
Sauteed_Red_Cabbage_with_Honey_and_Mustard_seeds,65,11.4,1.9,1.8,Side
Forbidden_Fried_Rice,151,25,5.5,3.6,Side
Ful_medames,107,11.6,0.5,6,Side
Coleslaw,50,7.7,2.2,1.4,Side
Quinoa_with_mushrooms_and_spinach,200,32,4.6,7.8,Side
Roasted_Sweets_and_Beets,149,29.2,3,2.6,Side
Chunky_Apple_Sauce,50,10.3,1.3,0.2,Side
Stir-fried_Broccoli_with_Garlic,50,7.7,2.2,1.4,Side
Beets_and_Green_breans,46,7.3,1.7,1.5,Side
Sweet_Potato_Fries_with_rosemary,125,18.2,5.4,1.4,Side
Creamy_Cucumber_Salad,44,7,0,4.7,Side
Spinach_and_Spaghetti_Squash_Souffle,59,5.3,2.8,6.7,Side
Roasted_Sweet_Potato_Medallions,150,33,0,5,Side
Coconut_Cayenne_Smashed_Sweet_Potatoes,139,31.7,0.7,2.1,Side
Hasselback_Sweet_Potatoes,151,34,0.4,3.3,Side
Spicy_Black_Beans_and_Quinoa,154,28.5,2.4,5.6,Side
Carb_Cutter_Twice-baked_Potatoes,118,24.5,1.2,4.4,Side
Baked_Zucchini_Fries,74,5.1,3.3,7.7,Side
Curried_Rice_Pilaf,179,35.7,1.6,4,Side
"Cauliflower_""Fried_Rice""",71,13.1,0.4,5.9,Side
Fluffy_Basmati_Rice,170,33.4,2,3.2,Side
Roasted_Cabbage_Steak,38,8.2,0.4,2.2,Side
Cloud_Bread,119,1.5,8.1,8.3,Side
Her-Roasted_Vegetables,45,9.4,0.2,1.8,Side
Zesty_Zoodles,44,7.6,1.1,1.2,Side
Rosemary_Beefsteak_Tomatoes,26,5.7,0.1,1,Side
Citrus_Kale_Salad,43,5.3,1.4,1.6,Side
Wilted_Spinach_and_Cherry_Tomato_Salad,23,2.5,0.3,2.5,Side
Fresh_Veggie_Stir_Fry,34,6,0.2,3,Side
Guacamole_Deviled_Eggs,192,3.3,14,13.2,Side
Roasted_Brussels_Sprouts_and_Fennel,46,9.7,0.3,3.3,Side
Lemony_Grilled_Asparagus,42,9.3,0.3,3.7,Side
Snappy_Ginger_Green_Beans,66,9,2.2,2.8,Side
Crunchy_Avocado_Salad,183,9.3,16.9,2,Side
Raspberry_Sorbet,85,17,2,2,Dessert
Chocolat-Chia_Mouse,70,5.1,4.4,4.5,Dessert
"Greek_Yogurt_""CheeseCake_with_Chocolate_Protein_crumb_crust",145,5.9,8.8,13.2,Dessert
Perfect_Pumpkin_Pie,215,18,10.7,12.9,Dessert
Sugar-and-Gluten_free_Peanut_Butter_Cookies,98,3.6,8,4.3,Dessert
Protein_Pumpkin_Spice_Cookies,25,1.2,0.6,1.2,Dessert
Apple_pie_pockets,118,12.7,7,3.2,Dessert
Coconut_macaroons,38,2,3,1.2,Dessert
Key_Lime_protein_Pie,100,6.3,2.4,14,Dessert
Protein_Pineapple_jell-O_Dessert,69,6.5,0.6,9.2,Dessert
German_Chocolate-Black_Bean_cake,199,28.9,8.3,11,Dessert
Chocolate_Protein_Mug_cake_with_whipped_Peanut_Butter_Frosting,124,8.2,3.7,17.1,Dessert
Choco-Cado_Mousse,142,7,12,3,Dessert
Egg_White_Custards,135,6,3.8,18.5,Dessert
Gains_Glazed_Donuts,237,14.3,5.8,31.3,Dessert
Savory_Rosemary_Almond_Bars,269,7.4,22.3,14,Snack
Pumpkin_and_Oat_Bars,153,24.7,0.5,11.9,Snack
No-Bake_Almond_and_Oats_Bars,215,17.3,10,14.3,Snack
Lean_Rice_Crispy_Treats,183,20,8.4,8.6,Snack
Quick_and_Easy_Egg_Bites,136,3.7,0.1,28.6,Snack
Grilled_Balsamic_Melon_and_Cheese,260,28.1,3.7,30,Snack
Greek_Yogurt_Hummus,152,26.2,2,8.5,Snack
No-Bake_Cocoa_and_Oats_bars,235,21.3,7.1,28.1,Snack
Paleo_protein_crackers,220,9.2,17.7,9.3,Snack
Chocolate_Protein_snack_mug,190,9.2,2.1,34.3,Snack
Zesty_Tuna_Snack_bowl,194,7.1,1.8,37.3,Snack
Turkey_and_Veggie_Roll-Up,160,11.4,1.4,26.3,Snack
Baked_Cheeseburger_Bites,242,3.1,13,28.3,Snack
Cinnamon_and_sugar_shake,160,9,2.2,26.5,Shake
Banana_Nut_Muffin_Shake,312,28,9,30,Shake
Wild_Berry_Smoothie,216,17,1,37,Shake
Protein_pumpkin_spice_latte,120,4,0,24,Shake
Protein_Pina_Colada,296,29,10,27,Shake
Protein_Horchata,150,19,5,25,Shake
Peaches_an_Cream_Shake,180,19,5,25,Shake
The_Big_Green_Smoothie,289,44,1,29,Shake
Strawberry_Cheesecake_Shake,212,19,2,33,Shake
Peanut_Butter_Nutella_Shake,154,6,0,33,Shake
Blueberries_and_Beets_smoothie,353,58,5,28,Shake
Nuts_about_honey_shake,349,39,10,27,Shake
Root_beer_float_shake,292,17,13,30,Shake
Blueberry_Muffin_Shake,278,30,6,30,Shake
Orange_Creamsicle_Shake,230,20,5,26,Shake
Carrot_Cake_Shake,290,37.2,1.7,33.4,Shake
Elvis_Shake,260,23,4.9,34.1,Shake
Golden_Milk_Shake,294,11,13.8,34,Shake
Key_Lime_Shake,222,14.1,4.6,31.9,Shake
Blueberry_Cheesecake_Shake,266,32,1.3,32.5,Shake
Orange_Creamsicle_Shake,247,26.9,1.3,32.7,Shake
Coco-Choco_Almond_Shake,328,9.5,20.9,30.6,Shake
Hulk_Shake,259,31.2,3.1,29,Shake
Oatmeal_Raisin_Cookie_Shake,277,34.8,2.9,29.1,Shake
Raspberry_Orange_Shake,230,20,5,26,Shake
Snickerdoodle_bars,195,8.5,11,16.8,Snack
Tropical_Island_Crunch_Bars,300,24.4,18.8,11.5,Snack
Oatmeal_cookie_bars,143,14.3,7.3,16.9,Snack
Peanut_Butter_and_Maple_Balls,195,26.2,7.8,8,Snack
Almond_Butter_and_Honey_Crisps,250,25.6,11.8,11.7,Snack
Chewy_Gooey_Fudge_Bars,166,27.7,6.1,4.9,Snack
Chewy_Apple_Turnover_Bars,226,38,9.2,3,Snack
Chocolate_Peanut_Butter_Crispy_Bars,186,22.8,6.1,12.2,Snack
Chewy_Sweet_Cinnamon_bars,208,35,7.8,3.8,Snack
Chewyy_Coconut_bars,225,36.1,9.5,4.1,Snack
Dark_chocolate_raspberry_truffle_bars,131,9.2,8,8.2,Snack
Banana_bread_bars,120,5.6,7.7,9.6,Snack
Lemon_bar_cookies,195,9,11,17,Snack
Peanut_butter_Cup_Bars,130,10,3.8,18,Snack
Strawberry_Cheesecake_Bars,205,9.8,11,16.8,Snack
